country,rank_in_country,city,drive_km,drive_min,walk_km,walk_min,straight_km,source
United Kingdom,1,Edinburgh,10.2,22.4,8.9,119.4,7.8,cache
United Kingdom,2,Glasgow,8.0,10.2,9.1,121.9,6.5,cache
United Kingdom,3,London,13.6,32.6,11.9,158.1,9.9,cache
United Kingdom,4,Manchester,3.8,7.5,3.5,46.7,2.6,cache
United Kingdom,5,Birmingham,20.0,20.6,15.8,211.6,12.5,cache
United Kingdom,6,Leeds,2.9,7.2,0.3,3.6,0.2,cache
United Kingdom,7,Cardiff,8.6,11.2,8.3,110.5,6.7,cache
United Kingdom,8,Southampton,1.5,3.6,0.9,11.8,0.6,cache
United Kingdom,9,Nottingham,14.1,20.9,14.1,188.2,10.9,cache
United Kingdom,10,Cambridge,2.9,6.1,1.9,25.6,1.4,cache
United Kingdom,11,Liverpool,2.7,6.5,0.7,9.5,0.6,cache
United Kingdom,12,Sheffield,1.3,3.0,1.0,13.6,0.9,cache
United Kingdom,13,Belfast,6.9,9.1,6.6,87.5,5.0,cache
United Kingdom,14,Portsmouth,7.9,10.7,8.8,116.9,5.6,cache
Ireland,1,Dublin,4.0,10.9,2.6,34.5,2.2,cache
France,1,Paris,6.8,17.2,6.5,86.0,5.8,cache
France,2,Lyon,2.2,5.9,0.6,7.4,0.4,cache
France,3,Marseille,3.7,8.3,2.6,34.7,1.5,cache
France,4,Toulouse,1.6,3.9,1.1,14.9,0.9,cache
France,5,Bordeaux,2.9,5.9,2.2,29.7,1.9,cache
France,6,Lille,1.1,3.5,0.6,7.7,0.5,cache
France,7,Nantes,1.9,4.8,1.8,23.6,1.5,cache
France,8,Strasbourg,1.3,2.9,0.9,12.2,0.6,cache
France,9,Rennes,2.2,7.3,1.5,20.0,1.2,cache
France,10,Nice,1.0,2.4,0.3,4.5,0.3,cache
France,11,Montpellier,2.2,6.0,1.0,13.1,0.7,cache
France,12,Grenoble,2.3,6.9,1.5,20.5,1.1,cache
Spain,1,Madrid,1.6,3.2,0.4,5.5,0.3,cache
Spain,2,Barcelona,2.0,5.3,1.5,20.1,1.3,cache
Spain,3,Valencia,2.4,4.5,1.7,22.5,1.5,cache
Spain,4,Seville,5.8,12.1,1.9,25.4,1.7,cache
Spain,5,Zaragoza,2.9,6.2,2.9,39.2,2.5,cache
Spain,6,Malaga,3.5,6.6,1.7,22.5,1.4,cache
Spain,7,Bilbao,0.3,0.8,0.3,4.2,0.2,cache
Spain,8,San Sebastian,0.6,1.8,0.5,7.1,0.4,cache
Spain,9,Valladolid,2.4,5.9,1.2,15.8,1.0,cache
Spain,10,Alicante,5.7,11.0,5.4,71.7,3.6,cache
Spain,11,Cordoba,1.8,3.1,1.0,13.5,0.7,cache
Spain,12,A Coruna,3.8,9.8,2.7,35.7,2.3,cache
Portugal,1,Lisbon,2.9,5.4,2.2,29.4,1.4,cache
Portugal,2,Porto,3.4,5.2,2.3,31.1,2.0,cache
Portugal,3,Braga,4.4,6.6,3.1,41.4,2.5,cache
Portugal,4,Coimbra,2.8,4.8,2.5,33.6,1.7,cache
Germany,1,Berlin,5.4,13.2,5.2,69.9,4.7,cache
Germany,2,Hamburg,12.5,20.3,13.5,178.1,10.7,cache
Germany,3,Munich,1.3,2.1,0.9,12.2,0.6,cache
Germany,4,Cologne,1.6,3.3,1.0,13.5,0.8,cache
Germany,5,Frankfurt,3.0,6.3,2.0,26.9,1.9,cache
Germany,6,Stuttgart,3.8,8.5,1.5,20.2,1.2,cache
Germany,7,Dusseldorf,2.1,4.9,1.3,16.3,1.0,cache
Germany,8,Dortmund,12.0,20.2,9.9,132.3,7.9,cache
Germany,9,Leipzig,2.3,5.5,1.6,21.0,1.2,cache
Germany,10,Dresden,1.2,3.6,0.2,3.0,0.1,cache
Germany,11,Nuremberg,2.1,4.2,1.4,19.1,1.0,cache
Germany,12,Hanover,10.0,13.3,8.9,117.3,7.3,cache
Germany,13,Bremen,8.3,15.3,8.2,93.2,6.5,cache
Italy,1,Rome,3.8,6.4,4.0,53.7,3.4,cache
Italy,2,Milan,3.2,6.7,3.0,40.4,2.6,cache
Italy,3,Naples,0.8,1.4,0.3,3.9,0.3,cache
Italy,4,Turin,0.2,0.7,0.4,4.7,0.3,cache
Italy,5,Bologna,8.1,15.8,5.4,72.5,4.4,cache
Italy,6,Florence,3.7,6.8,2.7,36.5,2.1,cache
Italy,7,Genoa,5.8,9.0,3.4,44.7,2.2,cache
Italy,8,Venice,11.2,15.0,16.3,217.5,8.9,cache
Italy,9,Verona,6.1,9.5,5.5,71.1,4.6,cache
Italy,10,Bari,11.0,14.4,7.6,101.6,4.1,cache
Belgium,1,Brussels,4.7,13.0,2.3,30.2,2.0,cache
Belgium,2,Liege,3.2,6.8,2.5,33.0,2.1,cache
Netherlands,1,Amsterdam,5.3,10.7,2.9,38.4,2.4,cache
Netherlands,2,Rotterdam,1.2,2.7,0.7,9.7,0.5,cache
Netherlands,3,The Hague,1.8,3.6,1.3,17.5,0.8,cache
Netherlands,4,Utrecht,6.0,12.7,5.0,66.8,4.2,cache
Netherlands,5,Eindhoven,1.2,2.8,0.4,5.3,0.2,cache
Switzerland,1,Zurich,1.2,2.2,0.8,10.8,0.7,cache
Switzerland,2,Geneva,2.4,5.2,1.9,25.8,1.7,cache
Switzerland,3,Bern,1.0,2.3,0.3,4.0,0.2,cache
Switzerland,4,Basel,2.5,4.9,2.2,30.0,1.8,cache
Austria,1,Vienna,0.7,1.6,0.5,6.1,0.4,cache
Austria,2,Graz,8.6,15.8,7.9,105.7,6.5,cache
Poland,1,Warsaw,1.7,4.3,1.6,21.4,1.4,cache
Poland,2,Krakow,4.7,8.5,3.8,50.2,2.8,cache
Poland,3,Wroclaw,5.7,11.9,5.3,70.1,4.1,cache
Poland,4,Poznan,7.1,13.0,6.7,87.5,5.4,cache
Poland,5,Gdansk,7.8,12.7,8.0,105.2,6.8,cache
Poland,6,Lodz,3.7,7.6,2.5,32.6,1.8,cache
Czech Republic,1,Prague,3.6,6.4,3.4,45.1,2.6,cache
Czech Republic,2,Brno,8.1,11.0,8.6,117.6,6.2,cache
Czech Republic,3,Ostrava,3.2,6.7,2.8,36.8,1.9,cache
Romania,1,Cluj-Napoca,6.8,11.4,6.5,87.2,5.3,cache
Romania,2,Timisoara,5.3,9.4,5.3,71.1,4.3,cache
Hungary,1,Budapest,3.7,8.0,2.3,30.7,1.7,cache
Hungary,2,Debrecen,4.5,8.2,4.8,63.4,3.7,cache
Serbia,1,Belgrade,6.8,11.8,7.1,95.2,5.4,cache
Croatia,1,Zagreb,7.1,9.7,6.6,83.9,5.4,cache
Croatia,2,Split,6.6,10.3,6.3,84.5,4.7,cache
Slovenia,1,Ljubljana,5.7,9.4,6.9,91.2,4.7,cache
Slovakia,1,Bratislava,7.8,12.7,7.9,105.4,6.3,cache
Slovakia,2,Kosice,5.1,11.1,4.0,54.1,2.9,cache
Lithuania,1,Vilnius,4.6,7.2,3.2,42.6,2.3,cache
Latvia,1,Riga,8.4,11.7,6.6,87.6,5.3,cache
